timestamp,road_id,road_name,road_type,latitude,longitude,vehicle_count,average_speed_kmph,speed_limit_kmph,lanes,occupancy,congestion,congestion_level,weather,hour,day_of_week,is_peak_hour,is_weekend
2024-11-08 06:20:00,RD_076,Road Segment 76,local,13.081568,80.196193,105,31.1,60,4,0.333,0,moderate,rain,6,4,0,0
2024-07-11 17:01:00,RD_028,Road Segment 28,local,13.128661,80.320152,313,11.8,40,4,0.966,1,heavy,clear,17,3,1,0
2024-11-26 14:46:00,RD_037,Road Segment 37,highway,12.992747,80.115281,32,39.9,60,2,0.109,0,free,rain,14,1,0,0
2024-11-05 13:50:00,RD_026,Road Segment 26,local,12.998574,80.184181,62,44.5,50,4,0.21,0,free,clear,13,1,0,0
2024-07-29 03:50:00,RD_073,Road Segment 73,local,12.88091,80.152629,14,37.3,40,6,0.044,0,free,clear,3,0,0,0
2024-01-30 00:37:00,RD_077,Road Segment 77,local,13.082365,80.184706,56,43.2,60,2,0.356,0,free,clear,0,1,0,0
2024-01-30 07:05:00,RD_035,Road Segment 35,arterial,12.944096,80.380827,478,9.3,50,6,0.999,1,heavy,clear,7,1,1,0
2024-03-07 10:34:00,RD_063,Road Segment 63,arterial,13.191476,80.131375,429,27.4,80,6,0.872,1,moderate,clear,10,3,1,0
2024-01-27 17:19:00,RD_071,Road Segment 71,arterial,12.960971,80.381718,135,27.4,40,6,0.287,0,free,clear,17,5,1,1
2024-12-02 09:37:00,RD_070,Road Segment 70,local,12.99818,80.385175,115,27.5,80,2,0.678,1,moderate,rain,9,0,1,0
2024-12-18 22:57:00,RD_057,Road Segment 57,local,13.055218,80.171101,24,46.7,50,2,0.25,0,free,clear,22,2,0,0
2024-10-24 02:09:00,RD_071,Road Segment 71,arterial,12.955587,80.387548,9,38.3,40,6,-0.012,0,free,clear,2,3,0,0
2024-10-29 13:13:00,RD_035,Road Segment 35,arterial,12.944204,80.372576,356,23.4,50,6,0.843,0,moderate,clear,13,1,0,0
2024-04-09 09:39:00,RD_066,Road Segment 66,highway,13.150516,80.122345,160,6.2,40,2,0.991,1,heavy,drizzle,9,1,1,0
2024-12-22 13:05:00,RD_076,Road Segment 76,local,13.084669,80.189257,201,22.6,60,4,0.684,1,moderate,rain,13,6,0,1
2024-06-22 21:25:00,RD_025,Road Segment 25,highway,13.054722,80.337565,66,20.1,40,2,0.355,0,moderate,rain,21,5,0,1
2024-12-26 16:29:00,RD_020,Kamarajar Salai Marina,arterial,13.065544,80.287679,428,26.2,60,6,0.929,1,moderate,clear,16,3,0,0
2024-11-28 17:23:00,RD_013,Cathedral Road,local,13.060463,80.247692,164,27.2,50,4,0.42,0,moderate,clear,17,3,1,0
2024-08-27 06:05:00,RD_011,Velachery Main Road,arterial,12.977732,80.219011,243,22.5,50,4,0.699,1,moderate,clear,6,1,0,0
2024-01-27 03:22:00,RD_070,Road Segment 70,local,13.003077,80.386507,0,81.5,80,2,0.004,0,free,clear,3,5,0,1
2024-08-06 01:32:00,RD_022,Road Segment 22,arterial,12.896443,80.133001,242,25.3,40,6,0.562,0,free,clear,1,1,0,0
2024-05-11 02:43:00,RD_073,Road Segment 73,local,12.880115,80.158359,0,33.9,40,6,-0.001,0,free,drizzle,2,5,0,1
2024-12-04 18:53:00,RD_002,GST Road,highway,12.972713,80.18635,480,21.8,80,6,0.963,1,heavy,clear,18,2,1,0
2024-07-01 02:46:00,RD_055,Road Segment 55,highway,12.987568,80.303425,53,55.2,60,4,0.083,0,free,clear,2,0,0,0
2024-10-15 05:12:00,RD_003,OMR (Old Mahabalipuram Road),arterial,12.918163,80.233904,117,31.1,60,4,0.34,0,moderate,rain,5,1,0,0
2024-07-27 09:36:00,RD_064,Road Segment 64,highway,13.130188,80.137816,94,26.5,50,2,0.583,0,moderate,clear,9,5,1,1
2024-03-11 18:03:00,RD_018,LB Road Adyar,local,13.003015,80.255856,304,11.3,50,4,0.978,1,heavy,clear,18,0,1,0
2024-08-25 21:49:00,RD_038,Road Segment 38,arterial,13.018218,80.364126,98,43.1,80,2,0.582,0,moderate,drizzle,21,6,0,1
2024-08-02 21:58:00,RD_062,Road Segment 62,highway,12.975264,80.228286,327,16.1,40,6,0.798,0,moderate,drizzle,21,4,0,0
2024-09-23 08:22:00,RD_051,Road Segment 51,highway,12.870259,80.361064,94,23.8,40,2,0.538,0,moderate,clear,8,0,1,0
2024-03-19 21:29:00,RD_048,Road Segment 48,arterial,13.155425,80.187595,112,19.3,50,2,0.7,1,moderate,drizzle,21,1,0,0
2024-12-04 01:39:00,RD_009,Inner Ring Road,ring,13.018829,80.213293,219,35.1,60,6,0.553,0,moderate,drizzle,1,2,0,0
2024-10-10 00:04:00,RD_018,LB Road Adyar,local,12.992759,80.255916,21,48.6,50,4,-0.0,0,free,clear,0,3,0,0
2024-03-13 02:31:00,RD_054,Road Segment 54,arterial,12.998763,80.166725,172,27.1,50,6,0.348,0,moderate,rain,2,2,0,0
2024-09-18 04:16:00,RD_048,Road Segment 48,arterial,13.153229,80.191271,9,37.2,50,2,0.019,0,free,fog,4,2,0,0
2024-01-16 13:14:00,RD_077,Road Segment 77,local,13.08666,80.195423,7,46.1,60,2,0.078,0,free,rain,13,1,0,0
2024-08-27 05:59:00,RD_030,Road Segment 30,local,13.09268,80.122586,225,24.0,50,4,0.705,0,moderate,clear,5,1,0,0
2024-07-01 12:29:00,RD_070,Road Segment 70,local,12.994727,80.391306,133,39.5,80,2,0.731,1,moderate,clear,12,0,0,0
2024-02-08 03:44:00,RD_034,Road Segment 34,arterial,12.910611,80.316132,0,50.8,50,4,0.051,0,free,clear,3,3,0,0
2024-06-10 07:51:00,RD_058,Road Segment 58,arterial,13.090275,80.119678,160,4.1,40,2,1.0,1,heavy,clear,7,0,1,0
2024-11-06 09:40:00,RD_052,Road Segment 52,highway,13.019467,80.119904,160,13.5,50,2,0.988,1,heavy,clear,9,2,1,0
2024-08-24 19:01:00,RD_036,Road Segment 36,arterial,13.145394,80.331375,26,46.5,50,2,0.127,0,free,clear,19,5,1,1
2024-06-05 13:48:00,RD_071,Road Segment 71,arterial,12.951843,80.38671,196,18.9,40,6,0.492,0,moderate,fog,13,2,0,0
2024-11-06 18:14:00,RD_041,Road Segment 41,local,13.029399,80.12796,130,16.9,40,2,0.651,1,moderate,clear,18,2,1,0
2024-04-04 17:55:00,RD_048,Road Segment 48,arterial,13.153669,80.186844,160,10.0,50,2,1.0,1,heavy,clear,17,3,1,0
2024-02-07 11:05:00,RD_055,Road Segment 55,highway,12.990665,80.305774,272,19.0,60,4,0.879,1,moderate,clear,11,2,0,0
2024-09-24 15:35:00,RD_072,Road Segment 72,highway,12.872122,80.270501,35,42.4,50,2,0.16,0,free,clear,15,1,0,0
2024-01-20 02:49:00,RD_080,Road Segment 80,highway,12.981792,80.146004,7,45.3,60,6,0.012,0,free,rain,2,5,0,1
2024-02-20 16:05:00,RD_052,Road Segment 52,highway,13.019541,80.121444,39,31.1,50,2,0.264,0,free,rain,16,1,0,0
2024-04-24 14:55:00,RD_044,Road Segment 44,highway,13.190727,80.358736,187,23.0,40,6,0.434,0,moderate,clear,14,2,0,0
2024-07-17 03:20:00,RD_011,Velachery Main Road,arterial,12.978067,80.217248,33,45.0,50,4,0.066,0,free,clear,3,2,0,0
2024-07-25 06:05:00,RD_015,Arcot Road,local,13.051594,80.218509,195,23.9,50,4,0.674,0,moderate,clear,6,3,0,0
2024-04-09 22:21:00,RD_028,Road Segment 28,local,13.133965,80.317489,229,18.3,40,4,0.722,0,moderate,clear,22,1,0,0
2024-06-16 13:28:00,RD_069,Road Segment 69,arterial,12.983204,80.395746,76,31.5,60,4,0.321,0,moderate,fog,13,6,0,1
2024-11-08 14:17:00,RD_074,Road Segment 74,highway,12.988302,80.385115,258,28.3,50,6,0.565,0,moderate,clear,14,4,0,0
2024-12-01 00:46:00,RD_080,Road Segment 80,highway,12.976357,80.146872,82,50.8,60,6,0.147,0,free,clear,0,6,0,1
2024-05-02 10:19:00,RD_043,Road Segment 43,arterial,12.984292,80.274281,320,29.3,80,6,0.752,1,moderate,rain,10,3,1,0
2024-06-21 01:05:00,RD_019,100 Feet Road Vadapalani,arterial,13.058564,80.208363,2,46.1,60,4,-0.039,0,free,rain,1,4,0,0
2024-11-22 21:11:00,RD_073,Road Segment 73,local,12.875132,80.152204,301,21.0,40,6,0.764,0,moderate,drizzle,21,4,0,0
2024-04-19 22:10:00,RD_041,Road Segment 41,local,13.025988,80.125755,58,20.5,40,2,0.502,0,moderate,rain,22,4,0,0
2024-02-11 10:13:00,RD_005,NH-16 (Chennai-Kolkata Highway),highway,13.143486,80.277546,119,77.1,100,6,0.21,0,free,clear,10,6,1,1
2024-01-30 20:55:00,RD_075,Road Segment 75,local,12.864535,80.125466,314,12.8,60,4,1.0,1,heavy,clear,20,1,1,0
2024-03-02 09:45:00,RD_044,Road Segment 44,highway,13.193097,80.356488,190,29.0,40,6,0.365,0,free,clear,9,5,1,1
2024-07-24 23:55:00,RD_048,Road Segment 48,arterial,13.153321,80.191846,0,36.8,50,2,-0.046,0,free,rain,23,2,0,0
2024-04-19 11:57:00,RD_033,Road Segment 33,highway,13.083738,80.315096,172,27.6,40,6,0.351,0,free,clear,11,4,0,0
2024-04-03 21:35:00,RD_051,Road Segment 51,highway,12.871696,80.358095,100,21.7,40,2,0.531,0,moderate,clear,21,2,0,0
2024-03-09 01:12:00,RD_068,Road Segment 68,local,12.993682,80.247685,0,75.2,80,2,0.041,0,free,clear,1,5,0,1
2024-04-10 04:07:00,RD_029,Road Segment 29,local,13.042953,80.345162,2,56.5,60,6,-0.054,0,free,clear,4,2,0,0
2024-04-05 10:14:00,RD_080,Road Segment 80,highway,12.983516,80.15125,426,15.3,60,6,0.878,1,heavy,rain,10,4,1,0
2024-10-26 04:16:00,RD_006,Rajiv Gandhi Salai (IT Corridor),arterial,12.960223,80.242207,0,42.6,60,4,0.086,0,free,rain,4,5,0,1
2024-09-24 20:29:00,RD_025,Road Segment 25,highway,13.058117,80.339705,156,3.9,40,2,0.999,1,heavy,rain,20,1,1,0
2024-05-25 09:58:00,RD_021,Road Segment 21,local,13.072485,80.107034,98,23.9,60,2,0.669,1,moderate,fog,9,5,1,1
2024-03-02 01:49:00,RD_037,Road Segment 37,highway,12.992979,80.120431,0,51.5,60,2,0.129,0,free,drizzle,1,5,0,1
2024-01-20 10:05:00,RD_045,Road Segment 45,arterial,12.890512,80.368031,114,50.7,60,6,0.317,0,free,clear,10,5,1,1
2024-04-16 08:23:00,RD_043,Road Segment 43,arterial,12.980608,80.277864,295,46.5,80,6,0.544,0,moderate,clear,8,1,1,0
2024-02-27 16:34:00,RD_001,Anna Salai (Mount Road),arterial,13.066561,80.253311,56,49.7,60,6,0.121,0,free,drizzle,16,1,0,0
2024-02-04 18:28:00,RD_016,Patel Road T Nagar,local,13.039247,80.230282,12,24.3,40,4,0.063,0,free,fog,18,6,1,1
2024-06-25 04:10:00,RD_066,Road Segment 66,highway,13.15778,80.126731,59,30.5,40,2,0.27,0,free,clear,4,1,0,0
2024-01-15 19:22:00,RD_068,Road Segment 68,local,12.985884,80.249668,135,23.2,80,2,0.862,1,heavy,clear,19,0,1,0
2024-06-24 13:58:00,RD_045,Road Segment 45,arterial,12.889645,80.366221,317,19.0,60,6,0.599,1,moderate,rain,13,0,0,0
2024-12-04 07:52:00,RD_023,Road Segment 23,highway,12.862595,80.128881,474,9.9,50,6,0.995,1,heavy,rain,7,2,1,0
2024-02-01 21:34:00,RD_026,Road Segment 26,local,12.99349,80.186652,241,20.8,50,4,0.719,1,moderate,clear,21,3,0,0
2024-07-27 08:09:00,RD_025,Road Segment 25,highway,13.054231,80.338576,21,37.9,40,2,0.207,0,free,clear,8,5,1,1
2024-10-08 13:06:00,RD_057,Road Segment 57,local,13.0566,80.166775,65,40.3,50,2,0.417,0,free,clear,13,1,0,0
2024-05-11 09:42:00,RD_056,Road Segment 56,local,13.010147,80.171845,124,32.7,40,4,0.34,0,free,clear,9,5,1,1
2024-09-12 23:43:00,RD_057,Road Segment 57,local,13.052508,80.164953,13,47.4,50,2,0.082,0,free,clear,23,3,0,0
2024-09-21 13:19:00,RD_052,Road Segment 52,highway,13.020734,80.119357,46,26.4,50,2,0.212,0,moderate,fog,13,5,0,1
2024-02-18 22:59:00,RD_017,Usman Road T Nagar,local,13.04367,80.240695,3,43.8,40,4,0.022,0,free,clear,22,6,0,1
2024-04-10 06:23:00,RD_010,Outer Ring Road,ring,13.002597,80.153702,259,45.1,80,6,0.577,0,moderate,clear,6,2,0,0
2024-10-08 19:05:00,RD_064,Road Segment 64,highway,13.126685,80.129796,160,7.9,50,2,1.0,1,heavy,clear,19,1,1,0
2024-02-23 22:09:00,RD_018,LB Road Adyar,local,12.998064,80.253595,147,35.3,50,4,0.374,0,free,clear,22,4,0,0
2024-09-09 23:41:00,RD_041,Road Segment 41,local,13.027164,80.122766,39,34.7,40,2,0.279,0,free,clear,23,0,0,0
2024-03-29 08:57:00,RD_029,Road Segment 29,local,13.046704,80.345795,480,15.3,60,6,0.975,1,heavy,clear,8,4,1,0
2024-04-04 11:54:00,RD_071,Road Segment 71,arterial,12.953136,80.387018,290,20.8,40,6,0.601,0,moderate,drizzle,11,3,0,0
2024-04-01 06:14:00,RD_010,Outer Ring Road,ring,12.997442,80.146557,402,19.0,80,6,0.963,1,heavy,rain,6,0,0,0
2024-05-12 12:02:00,RD_071,Road Segment 71,arterial,12.95131,80.390323,262,14.5,40,6,0.65,1,moderate,fog,12,6,0,1
2024-09-08 23:11:00,RD_029,Road Segment 29,local,13.044157,80.348178,162,42.6,60,6,0.367,0,free,drizzle,23,6,0,1
2024-03-09 00:46:00,RD_079,Road Segment 79,local,12.920049,80.176021,8,47.7,60,2,-0.086,0,free,rain,0,5,0,1
2024-02-29 03:28:00,RD_004,ECR (East Coast Road),highway,12.84798,80.246292,0,57.1,80,4,0.036,0,free,rain,3,3,0,0
2024-07-29 22:22:00,RD_064,Road Segment 64,highway,13.127467,80.134616,95,18.9,50,2,0.602,1,moderate,fog,22,0,0,0
2024-12-18 14:54:00,RD_054,Road Segment 54,arterial,12.999508,80.159774,220,20.4,50,6,0.606,0,moderate,fog,14,2,0,0
2024-10-17 08:04:00,RD_045,Road Segment 45,arterial,12.889845,80.367688,287,31.3,60,6,0.65,0,moderate,clear,8,3,1,0
2024-10-31 11:26:00,RD_050,Road Segment 50,local,13.019687,80.131266,100,47.7,60,4,0.278,0,free,clear,11,3,0,0
2024-12-28 19:49:00,RD_021,Road Segment 21,local,13.071201,80.109565,121,25.9,60,2,0.707,1,moderate,clear,19,5,1,1
2024-02-06 19:15:00,RD_007,Poonamallee High Road,arterial,13.046259,80.151429,270,26.3,60,4,0.806,1,moderate,clear,19,1,1,0
2024-07-11 13:59:00,RD_018,LB Road Adyar,local,12.998215,80.255156,219,21.6,50,4,0.664,0,moderate,clear,13,3,0,0
2024-11-23 22:30:00,RD_065,Road Segment 65,local,13.006704,80.22953,176,39.5,60,4,0.548,0,free,clear,22,5,0,1
2024-09-23 05:26:00,RD_044,Road Segment 44,highway,13.191441,80.358691,341,22.3,40,6,0.676,0,moderate,clear,5,0,0,0
2024-04-18 10:55:00,RD_059,Road Segment 59,highway,12.878448,80.176312,160,18.1,80,2,0.995,1,heavy,clear,10,3,1,0
2024-09-01 22:33:00,RD_039,Road Segment 39,highway,12.901547,80.323777,133,46.6,60,6,0.344,0,free,clear,22,6,0,1
2024-01-20 09:41:00,RD_040,Road Segment 40,local,12.993298,80.275197,74,36.4,60,2,0.44,0,free,clear,9,5,1,1
2024-05-04 03:54:00,RD_062,Road Segment 62,highway,12.969821,80.221279,0,43.8,40,6,0.02,0,free,clear,3,5,0,1
2024-04-20 06:27:00,RD_054,Road Segment 54,arterial,12.998051,80.166342,149,35.0,50,6,0.224,0,free,clear,6,5,0,1
2024-05-30 23:33:00,RD_018,LB Road Adyar,local,12.996416,80.256928,6,42.7,50,4,-0.023,0,free,drizzle,23,3,0,0
2024-12-18 13:39:00,RD_034,Road Segment 34,arterial,12.913732,80.321223,76,40.6,50,4,0.247,0,free,clear,13,2,0,0
2024-05-30 22:26:00,RD_037,Road Segment 37,highway,12.994805,80.117937,92,30.9,60,2,0.637,0,moderate,clear,22,3,0,0
2024-10-03 11:38:00,RD_070,Road Segment 70,local,12.999751,80.387728,143,21.6,80,2,0.828,1,heavy,rain,11,3,0,0
2024-09-09 05:08:00,RD_011,Velachery Main Road,arterial,12.981122,80.217895,259,14.4,50,4,0.802,1,heavy,clear,5,0,0,0
2024-06-23 05:45:00,RD_014,Nungambakkam High Road,local,13.057171,80.237921,16,43.6,50,4,0.101,0,free,clear,5,6,0,1
2024-04-10 02:24:00,RD_013,Cathedral Road,local,13.062468,80.247635,9,42.8,50,4,0.04,0,free,drizzle,2,2,0,0
2024-07-26 19:59:00,RD_042,Road Segment 42,local,13.071695,80.336439,480,23.3,80,6,0.884,1,heavy,clear,19,4,1,0
2024-10-31 07:04:00,RD_023,Road Segment 23,highway,12.854081,80.128313,480,7.5,50,6,1.0,1,heavy,clear,7,3,1,0
2024-01-07 17:57:00,RD_005,NH-16 (Chennai-Kolkata Highway),highway,13.148822,80.277692,51,93.6,100,6,0.071,0,free,clear,17,6,1,1
2024-12-06 19:15:00,RD_018,LB Road Adyar,local,12.999901,80.255505,267,16.5,50,4,0.839,1,moderate,rain,19,4,1,0
2024-05-07 18:59:00,RD_025,Road Segment 25,highway,13.058016,80.341738,160,7.4,40,2,1.0,1,heavy,clear,18,1,1,0
2024-12-13 16:06:00,RD_018,LB Road Adyar,local,13.000176,80.248556,114,38.9,50,4,0.333,0,free,clear,16,4,0,0
2024-07-09 10:58:00,RD_002,GST Road,highway,12.970573,80.187063,480,21.4,80,6,1.0,1,heavy,clear,10,1,1,0
2024-03-26 11:59:00,RD_040,Road Segment 40,local,13.003251,80.274154,106,31.5,60,2,0.467,0,moderate,clear,11,1,0,0
2024-10-29 19:25:00,RD_048,Road Segment 48,arterial,13.149288,80.189871,160,8.3,50,2,0.925,1,heavy,fog,19,1,1,0
2024-02-29 14:47:00,RD_077,Road Segment 77,local,13.089384,80.193652,73,31.8,60,2,0.548,0,moderate,drizzle,14,3,0,0
2024-04-19 02:51:00,RD_069,Road Segment 69,arterial,12.98426,80.389186,0,41.8,60,4,0.008,0,free,rain,2,4,0,0
2024-02-10 12:18:00,RD_058,Road Segment 58,arterial,13.099428,80.113157,38,32.5,40,2,0.187,0,free,clear,12,5,0,1
2024-02-23 04:17:00,RD_028,Road Segment 28,local,13.136245,80.325263,11,43.0,40,4,0.049,0,free,drizzle,4,4,0,0
2024-07-28 01:16:00,RD_005,NH-16 (Chennai-Kolkata Highway),highway,13.152943,80.279868,14,99.4,100,6,0.074,0,free,clear,1,6,0,1
2024-02-28 10:28:00,RD_049,Road Segment 49,arterial,13.115811,80.263432,464,5.8,40,6,1.0,1,heavy,clear,10,2,1,0
2024-04-02 17:33:00,RD_068,Road Segment 68,local,12.990506,80.241072,160,20.0,80,2,0.909,1,heavy,clear,17,1,1,0
2024-12-01 10:00:00,RD_032,Road Segment 32,local,13.070642,80.210591,67,54.5,60,4,0.173,0,free,clear,10,6,1,1
2024-06-24 05:56:00,RD_003,OMR (Old Mahabalipuram Road),arterial,12.919726,80.229093,86,48.5,60,4,0.262,0,free,clear,5,0,0,0
2024-06-07 05:03:00,RD_030,Road Segment 30,local,13.094974,80.114411,214,21.0,50,4,0.814,0,moderate,drizzle,5,4,0,0
2024-08-20 05:14:00,RD_074,Road Segment 74,highway,12.997553,80.376345,272,23.4,50,6,0.511,0,moderate,clear,5,1,0,0
2024-02-14 09:18:00,RD_036,Road Segment 36,arterial,13.143145,80.331927,158,9.2,50,2,0.995,1,heavy,rain,9,2,1,0
2024-10-04 13:09:00,RD_045,Road Segment 45,arterial,12.886506,80.368959,345,30.0,60,6,0.633,0,moderate,clear,13,4,0,0
2024-04-15 02:43:00,RD_039,Road Segment 39,highway,12.895867,80.324986,128,41.0,60,6,0.29,0,free,clear,2,0,0,0
2024-08-28 11:45:00,RD_027,Road Segment 27,arterial,12.882151,80.127089,313,29.5,60,6,0.609,0,moderate,clear,11,2,0,0
2024-01-29 19:08:00,RD_078,Road Segment 78,highway,13.005597,80.393533,160,10.4,40,2,1.0,1,heavy,clear,19,0,1,0
2024-08-08 18:35:00,RD_043,Road Segment 43,arterial,12.988094,80.278757,480,17.0,80,6,1.0,1,heavy,clear,18,3,1,0
2024-10-15 19:38:00,RD_027,Road Segment 27,arterial,12.879562,80.127534,480,15.5,60,6,1.0,1,heavy,clear,19,1,1,0
2024-12-28 02:33:00,RD_066,Road Segment 66,highway,13.155717,80.123462,0,37.4,40,2,0.054,0,free,clear,2,5,0,1
2024-07-08 21:21:00,RD_003,OMR (Old Mahabalipuram Road),arterial,12.917588,80.230719,161,31.4,60,4,0.577,0,moderate,clear,21,0,0,0
2024-06-27 22:26:00,RD_073,Road Segment 73,local,12.881439,80.148706,231,21.3,40,6,0.463,0,moderate,clear,22,3,0,0
2024-09-13 10:43:00,RD_022,Road Segment 22,arterial,12.899329,80.130092,351,10.8,40,6,0.738,1,heavy,clear,10,4,1,0
2024-02-24 03:01:00,RD_005,NH-16 (Chennai-Kolkata Highway),highway,13.149892,80.279608,65,90.3,100,6,0.121,0,free,clear,3,5,0,1
2024-12-17 20:36:00,RD_080,Road Segment 80,highway,12.978714,80.146678,447,15.0,60,6,0.871,1,heavy,clear,20,1,1,0
