hazard_id,road_id,road_name,latitude,longitude,hazard_type,severity,depth_cm,area_sqm,confidence_score,reported_at,repair_cost_inr,is_repaired
HZ_0019,RD_056,Road Segment 56,13.011859,80.170405,pothole,low,22.5,1.29,0.89,2024-01-06 09:00,109,0
HZ_0020,RD_048,Road Segment 48,13.163356,80.192831,pothole,low,20.2,0.29,0.98,2024-04-28 03:00,106,0
HZ_0021,RD_044,Road Segment 44,13.190262,80.36452,pothole,medium,11.6,1.03,0.79,2024-08-21 16:00,192,1
HZ_0022,RD_049,Road Segment 49,13.118404,80.258132,pothole,medium,19.7,3.13,0.99,2024-09-28 15:00,193,0
HZ_0023,RD_031,Road Segment 31,13.148237,80.346899,road_collapse,medium,,3.02,0.78,2024-08-30 14:00,550,1
HZ_0024,RD_007,Poonamallee High Road,13.041433,80.153802,debris,low,,1.72,0.73,2024-11-11 09:00,19,0
HZ_0025,RD_030,Road Segment 30,13.096275,80.110606,speed_breaker,low,,3.83,0.84,2024-01-27 21:00,21,0
HZ_0026,RD_009,Inner Ring Road,13.026935,80.202442,waterlogging,medium,,3.22,0.91,2024-12-04 11:00,223,0
HZ_0027,RD_073,Road Segment 73,12.884299,80.15394,road_crack,low,,0.91,0.9,2024-03-17 05:00,72,0
HZ_0028,RD_062,Road Segment 62,12.972396,80.223232,speed_breaker,medium,,3.6,0.9,2024-11-22 14:00,85,0
HZ_0029,RD_055,Road Segment 55,12.991368,80.299934,speed_breaker,medium,,3.62,0.83,2024-07-03 12:00,115,1
HZ_0030,RD_045,Road Segment 45,12.890947,80.365209,speed_breaker,high,,0.11,0.74,2024-05-02 08:00,219,1
HZ_0031,RD_052,Road Segment 52,13.030706,80.115515,road_crack,low,,1.64,0.88,2024-06-26 11:00,73,1
HZ_0032,RD_008,Grand Southern Trunk Road,12.970612,80.116565,pothole,low,9.4,3.14,0.77,2024-04-01 18:00,127,0
HZ_0033,RD_065,Road Segment 65,13.009796,80.226253,speed_breaker,high,,1.67,0.74,2024-04-03 01:00,234,0
HZ_0034,RD_034,Road Segment 34,12.914686,80.317411,pothole,medium,14.8,2.91,0.75,2024-03-15 14:00,242,0
HZ_0035,RD_079,Road Segment 79,12.917478,80.177472,road_crack,medium,,3.98,0.82,2024-04-29 22:00,155,0
HZ_0036,RD_073,Road Segment 73,12.881063,80.156517,pothole,medium,14.7,2.34,0.8,2024-04-18 12:00,240,1
HZ_0037,RD_058,Road Segment 58,13.097964,80.115908,road_crack,low,,1.72,0.96,2024-04-15 10:00,85,0
HZ_0038,RD_069,Road Segment 69,12.979904,80.395419,pothole,high,21.6,2.19,0.86,2024-04-29 17:00,428,0
HZ_0039,RD_003,OMR (Old Mahabalipuram Road),12.911401,80.229539,pothole,high,20.6,1.08,0.64,2024-12-20 03:00,390,0
HZ_0040,RD_052,Road Segment 52,13.025181,80.126431,debris,low,,3.46,0.94,2024-05-12 08:00,58,0
HZ_0041,RD_019,100 Feet Road Vadapalani,13.055735,80.20921,pothole,low,22.5,2.83,0.96,2024-07-01 20:00,121,0
HZ_0042,RD_027,Road Segment 27,12.881349,80.129804,pothole,medium,22.1,3.34,0.94,2024-02-03 01:00,183,0
HZ_0043,RD_027,Road Segment 27,12.886583,80.129676,pothole,medium,12.3,0.93,0.94,2024-10-24 10:00,185,0
HZ_0044,RD_058,Road Segment 58,13.097306,80.117925,pothole,low,21.3,2.73,0.9,2024-12-13 06:00,120,0
HZ_0045,RD_055,Road Segment 55,12.997521,80.297623,pothole,low,2.3,2.86,0.7,2024-05-01 05:00,119,0
HZ_0046,RD_061,Road Segment 61,13.121332,80.152562,pothole,low,2.5,1.88,0.76,2024-10-10 15:00,113,0
HZ_0047,RD_055,Road Segment 55,12.993569,80.293724,pothole,medium,7.7,1.24,0.93,2024-09-27 04:00,204,0
HZ_0048,RD_002,GST Road,12.969948,80.189777,pothole,medium,12.3,3.57,0.93,2024-01-13 18:00,234,1
HZ_0049,RD_024,Road Segment 24,12.862973,80.157512,speed_breaker,medium,,1.95,0.97,2024-11-14 03:00,142,1
HZ_0050,RD_028,Road Segment 28,13.129753,80.319798,road_crack,medium,,1.61,0.68,2024-07-26 07:00,131,0
HZ_0051,RD_058,Road Segment 58,13.098197,80.122135,debris,medium,,3.13,0.66,2024-10-16 12:00,61,0
HZ_0052,RD_070,Road Segment 70,12.995616,80.389284,road_crack,low,,3.95,0.66,2024-12-16 17:00,42,1
HZ_0053,RD_036,Road Segment 36,13.148616,80.32576,speed_breaker,low,,1.0,0.76,2024-04-12 05:00,50,1
HZ_0054,RD_061,Road Segment 61,13.122351,80.150741,pothole,medium,20.7,1.11,0.95,2024-07-19 21:00,204,1
HZ_0055,RD_063,Road Segment 63,13.201312,80.122105,pothole,medium,5.8,3.1,0.94,2024-06-03 07:00,245,0
HZ_0056,RD_008,Grand Southern Trunk Road,12.977144,80.106505,waterlogging,high,,0.85,0.77,2024-04-25 11:00,342,1
HZ_0057,RD_048,Road Segment 48,13.159846,80.194148,waterlogging,medium,,1.83,0.82,2024-08-26 14:00,232,0
HZ_0058,RD_006,Rajiv Gandhi Salai (IT Corridor),12.966761,80.239115,pothole,medium,15.8,0.68,0.91,2024-09-16 00:00,212,0
HZ_0059,RD_062,Road Segment 62,12.972532,80.227785,pothole,medium,7.7,2.9,0.94,2024-02-14 11:00,239,0
HZ_0060,RD_055,Road Segment 55,12.995873,80.294863,debris,low,,0.46,0.89,2024-09-25 06:00,0,0
HZ_0061,RD_026,Road Segment 26,12.992861,80.187796,road_crack,medium,,2.25,0.85,2024-07-11 03:00,152,0
HZ_0062,RD_018,LB Road Adyar,13.002586,80.261578,speed_breaker,medium,,0.6,0.75,2024-12-21 05:00,103,0
HZ_0063,RD_033,Road Segment 33,13.082716,80.3142,road_crack,high,,3.73,0.75,2024-01-07 03:00,236,0
HZ_0064,RD_053,Road Segment 53,13.018145,80.266902,road_crack,medium,,1.15,0.98,2024-10-23 02:00,163,0
HZ_0065,RD_051,Road Segment 51,12.867465,80.361617,pothole,medium,24.9,2.85,0.62,2024-03-01 11:00,236,0
HZ_0066,RD_042,Road Segment 42,13.063914,80.330768,pothole,medium,17.7,1.8,0.79,2024-04-21 05:00,237,1
HZ_0067,RD_062,Road Segment 62,12.972669,80.222582,debris,medium,,1.74,0.78,2024-11-11 00:00,95,0
HZ_0068,RD_079,Road Segment 79,12.914339,80.180231,road_crack,low,,1.59,0.99,2024-04-22 13:00,84,1
HZ_0069,RD_080,Road Segment 80,12.973212,80.144853,pothole,low,9.4,3.1,0.81,2024-02-13 10:00,106,0
HZ_0070,RD_028,Road Segment 28,13.129213,80.321913,speed_breaker,low,,2.33,0.94,2024-08-05 00:00,76,0
HZ_0071,RD_006,Rajiv Gandhi Salai (IT Corridor),12.954745,80.241877,debris,low,,1.57,0.82,2024-11-22 19:00,4,1
HZ_0072,RD_069,Road Segment 69,12.987094,80.395357,road_crack,low,,2.5,0.68,2024-04-04 13:00,54,0
HZ_0073,RD_077,Road Segment 77,13.078863,80.18264,pothole,low,2.4,0.68,0.72,2024-11-16 17:00,96,0
HZ_0074,RD_032,Road Segment 32,13.074954,80.212773,debris,low,,2.84,0.73,2024-06-10 06:00,52,0
HZ_0075,RD_060,Road Segment 60,12.895824,80.394142,road_crack,low,,3.01,0.77,2024-03-03 13:00,47,0
HZ_0076,RD_020,Kamarajar Salai Marina,13.061244,80.28059,waterlogging,high,,0.53,0.97,2024-10-18 03:00,344,0
HZ_0077,RD_026,Road Segment 26,12.996403,80.179032,road_crack,high,,1.92,0.61,2024-12-29 03:00,265,0
HZ_0078,RD_072,Road Segment 72,12.86324,80.284057,waterlogging,low,,3.62,0.6,2024-07-20 03:00,110,0
HZ_0079,RD_066,Road Segment 66,13.16327,80.128999,speed_breaker,low,,2.87,0.72,2024-12-21 03:00,69,0
HZ_0080,RD_061,Road Segment 61,13.128555,80.163083,pothole,high,8.4,3.08,0.95,2024-05-26 19:00,441,1
HZ_0081,RD_035,Road Segment 35,12.943028,80.370819,debris,medium,,3.64,0.92,2024-02-07 17:00,98,0
HZ_0082,RD_034,Road Segment 34,12.910892,80.317306,pothole,low,3.0,3.08,0.82,2024-01-03 15:00,113,1
HZ_0083,RD_021,Road Segment 21,13.072879,80.111208,pothole,medium,21.3,1.96,0.92,2024-04-06 04:00,237,1
HZ_0084,RD_039,Road Segment 39,12.896085,80.316227,debris,low,,0.24,0.68,2024-10-07 03:00,61,0
HZ_0085,RD_008,Grand Southern Trunk Road,12.975718,80.109077,speed_breaker,high,,2.78,0.75,2024-05-03 12:00,225,0
HZ_0086,RD_077,Road Segment 77,13.086224,80.176927,pothole,medium,4.7,0.53,0.92,2024-03-29 21:00,211,0
HZ_0087,RD_001,Anna Salai (Mount Road),13.078421,80.254679,speed_breaker,medium,,3.17,0.68,2024-07-14 02:00,144,0
HZ_0088,RD_058,Road Segment 58,13.103546,80.129953,pothole,medium,11.5,2.28,0.71,2024-02-11 11:00,225,1
HZ_0089,RD_049,Road Segment 49,13.123837,80.255855,speed_breaker,high,,2.81,0.83,2024-11-22 00:00,243,1
HZ_0090,RD_051,Road Segment 51,12.864752,80.37393,debris,low,,3.5,0.97,2024-06-25 04:00,0,0
HZ_0091,RD_004,ECR (East Coast Road),12.841826,80.247743,pothole,medium,21.3,3.06,0.73,2024-12-16 17:00,180,0
HZ_0092,RD_010,Outer Ring Road,13.002507,80.152063,road_crack,medium,,2.91,0.66,2024-05-17 19:00,175,0
HZ_0093,RD_029,Road Segment 29,13.051998,80.346614,road_crack,low,,2.87,0.77,2024-08-31 23:00,97,0
HZ_0094,RD_034,Road Segment 34,12.904404,80.321226,pothole,medium,20.1,3.78,0.87,2024-05-27 23:00,209,0
HZ_0095,RD_033,Road Segment 33,13.093148,80.309206,pothole,medium,4.6,2.69,0.71,2024-04-07 14:00,236,1
HZ_0096,RD_007,Poonamallee High Road,13.047521,80.155216,speed_breaker,medium,,2.27,0.65,2024-06-26 00:00,95,1
HZ_0097,RD_074,Road Segment 74,12.988131,80.381147,debris,high,,3.99,0.68,2024-01-02 15:00,150,0
HZ_0098,RD_001,Anna Salai (Mount Road),13.071564,80.243603,debris,high,,1.54,0.87,2024-12-19 18:00,138,0
HZ_0099,RD_024,Road Segment 24,12.861397,80.153061,oil_spill,medium,,0.69,0.86,2024-04-16 13:00,161,0
HZ_0100,RD_071,Road Segment 71,12.951559,80.391729,speed_breaker,medium,,1.85,0.93,2024-06-27 06:00,97,1
HZ_0101,RD_040,Road Segment 40,12.998558,80.272063,road_crack,medium,,2.08,0.65,2024-08-23 19:00,180,0
HZ_0102,RD_002,GST Road,12.971123,80.190106,speed_breaker,low,,0.71,0.87,2024-12-02 21:00,27,1
HZ_0103,RD_067,Road Segment 67,13.195323,80.348049,oil_spill,medium,,2.89,0.72,2024-09-03 01:00,194,0
HZ_0104,RD_066,Road Segment 66,13.151772,80.124008,road_crack,low,,1.21,0.99,2024-02-20 08:00,49,1
HZ_0105,RD_059,Road Segment 59,12.870202,80.174812,pothole,medium,14.1,2.44,0.8,2024-03-12 04:00,187,1
HZ_0106,RD_067,Road Segment 67,13.200855,80.352975,debris,medium,,3.2,0.91,2024-01-22 12:00,94,1
HZ_0107,RD_022,Road Segment 22,12.903853,80.130074,road_crack,low,,0.95,0.94,2024-08-29 22:00,48,0
HZ_0108,RD_056,Road Segment 56,13.010381,80.170278,road_crack,high,,0.61,0.93,2024-08-06 08:00,292,0
HZ_0109,RD_031,Road Segment 31,13.145856,80.365329,pothole,low,9.5,2.64,0.85,2024-01-11 05:00,87,0
HZ_0110,RD_022,Road Segment 22,12.904651,80.133697,road_crack,low,,3.85,0.62,2024-08-10 04:00,33,0
HZ_0111,RD_052,Road Segment 52,13.017726,80.116806,speed_breaker,medium,,1.15,0.97,2024-02-26 13:00,85,0
HZ_0112,RD_055,Road Segment 55,12.99674,80.307402,pothole,medium,4.1,0.82,0.68,2024-07-09 23:00,242,1
HZ_0113,RD_063,Road Segment 63,13.193985,80.12394,road_crack,low,,0.51,0.6,2024-04-25 23:00,42,1
HZ_0114,RD_064,Road Segment 64,13.129611,80.137418,waterlogging,medium,,0.46,0.92,2024-02-24 11:00,201,1
HZ_0115,RD_047,Road Segment 47,13.1574,80.178565,pothole,low,20.4,2.12,0.71,2024-10-15 09:00,124,0
HZ_0116,RD_022,Road Segment 22,12.893215,80.132726,debris,medium,,1.59,0.66,2024-09-18 01:00,120,0
HZ_0117,RD_058,Road Segment 58,13.0992,80.118131,waterlogging,high,,2.3,0.74,2024-04-26 18:00,372,0
HZ_0118,RD_049,Road Segment 49,13.109744,80.256708,road_collapse,medium,,3.32,0.88,2024-09-17 19:00,500,1
HZ_0119,RD_015,Arcot Road,13.057427,80.204029,oil_spill,low,,3.92,0.85,2024-11-14 01:00,87,0
HZ_0120,RD_001,Anna Salai (Mount Road),13.076112,80.257157,road_crack,medium,,2.5,0.82,2024-01-02 03:00,131,1
HZ_0121,RD_022,Road Segment 22,12.898468,80.130119,road_crack,low,,0.3,0.99,2024-03-13 18:00,64,0
HZ_0122,RD_004,ECR (East Coast Road),12.849151,80.251167,road_collapse,medium,,3.02,0.61,2024-10-10 00:00,536,1
HZ_0123,RD_074,Road Segment 74,12.992782,80.382692,speed_breaker,high,,1.46,0.72,2024-10-01 06:00,215,0
HZ_0124,RD_020,Kamarajar Salai Marina,13.052691,80.28524,waterlogging,high,,1.66,0.93,2024-10-08 08:00,363,1
HZ_0125,RD_050,Road Segment 50,13.02516,80.140712,road_crack,low,,1.25,0.8,2024-08-13 04:00,45,0
HZ_0126,RD_049,Road Segment 49,13.110011,80.262371,waterlogging,low,,0.11,0.64,2024-06-29 11:00,106,0
HZ_0127,RD_025,Road Segment 25,13.057311,80.338865,pothole,medium,4.2,0.99,0.82,2024-09-25 05:00,225,1
HZ_0128,RD_070,Road Segment 70,12.995993,80.386196,road_collapse,low,,0.82,0.66,2024-05-06 01:00,201,1
HZ_0129,RD_052,Road Segment 52,13.011729,80.121531,oil_spill,medium,,1.59,0.83,2024-02-20 02:00,158,1
HZ_0130,RD_010,Outer Ring Road,13.000165,80.154591,waterlogging,low,,0.82,0.71,2024-07-21 04:00,122,0
HZ_0131,RD_029,Road Segment 29,13.052122,80.34835,road_crack,high,,2.46,0.77,2024-02-19 11:00,250,0
HZ_0132,RD_055,Road Segment 55,12.991389,80.306941,road_collapse,medium,,0.11,0.73,2024-10-29 11:00,493,1
HZ_0133,RD_051,Road Segment 51,12.864572,80.369076,road_collapse,medium,,2.55,0.72,2024-12-09 04:00,528,0
HZ_0134,RD_014,Nungambakkam High Road,13.057246,80.23514,pothole,high,15.4,2.27,0.7,2024-12-14 23:00,386,1
HZ_0135,RD_044,Road Segment 44,13.186682,80.361595,waterlogging,medium,,3.75,0.87,2024-11-11 11:00,195,1
HZ_0136,RD_009,Inner Ring Road,13.025029,80.206677,waterlogging,medium,,1.52,0.81,2024-11-29 07:00,246,0
HZ_0137,RD_046,Road Segment 46,12.879019,80.231079,pothole,high,22.0,3.36,0.74,2024-09-16 11:00,412,0
HZ_0138,RD_060,Road Segment 60,12.90276,80.381617,road_crack,medium,,2.91,0.78,2024-09-16 11:00,177,0
HZ_0139,RD_033,Road Segment 33,13.08038,80.306094,pothole,low,18.1,0.76,0.94,2024-06-22 18:00,131,0
HZ_0140,RD_042,Road Segment 42,13.074101,80.336577,road_collapse,medium,,2.95,0.82,2024-04-01 20:00,495,0
HZ_0141,RD_060,Road Segment 60,12.892561,80.372506,pothole,low,3.9,2.4,0.94,2024-06-24 12:00,147,0
HZ_0142,RD_044,Road Segment 44,13.183853,80.362168,debris,low,,3.87,0.96,2024-01-14 03:00,17,1
HZ_0143,RD_077,Road Segment 77,13.078768,80.200442,speed_breaker,low,,2.94,0.96,2024-06-11 06:00,29,0
HZ_0144,RD_036,Road Segment 36,13.150457,80.337328,waterlogging,medium,,1.25,0.67,2024-10-31 21:00,181,0
HZ_0145,RD_077,Road Segment 77,13.085797,80.186292,speed_breaker,medium,,3.49,0.81,2024-07-10 04:00,142,0
HZ_0146,RD_080,Road Segment 80,12.985169,80.135464,speed_breaker,medium,,3.24,0.87,2024-01-04 02:00,150,0
HZ_0147,RD_076,Road Segment 76,13.085154,80.194295,pothole,medium,19.9,1.49,0.71,2024-06-30 05:00,227,0
HZ_0148,RD_061,Road Segment 61,13.140244,80.165425,waterlogging,low,,2.32,0.68,2024-11-01 13:00,81,1
HZ_0149,RD_035,Road Segment 35,12.943688,80.37638,road_crack,low,,0.51,0.88,2024-10-19 01:00,47,0
HZ_0150,RD_066,Road Segment 66,13.14359,80.121792,speed_breaker,low,,2.57,0.74,2024-11-09 16:00,31,0
HZ_0151,RD_011,Velachery Main Road,12.985435,80.223957,road_crack,high,,3.76,0.64,2024-10-17 14:00,245,1
HZ_0152,RD_071,Road Segment 71,12.950968,80.393404,pothole,medium,12.9,2.92,0.88,2024-06-17 01:00,241,1
HZ_0153,RD_052,Road Segment 52,13.018998,80.116189,road_crack,high,,3.4,0.88,2024-04-29 19:00,299,0
HZ_0154,RD_042,Road Segment 42,13.065324,80.347119,speed_breaker,high,,2.68,0.63,2024-05-14 11:00,240,1
HZ_0155,RD_023,Road Segment 23,12.862201,80.126516,debris,medium,,0.6,0.75,2024-08-11 00:00,95,1
HZ_0156,RD_024,Road Segment 24,12.863232,80.159258,pothole,medium,14.4,1.49,0.81,2024-04-29 06:00,199,1
HZ_0157,RD_028,Road Segment 28,13.131805,80.308184,speed_breaker,low,,2.06,0.97,2024-11-03 05:00,18,0
HZ_0158,RD_040,Road Segment 40,12.989799,80.279272,pothole,medium,10.3,0.7,0.83,2024-04-30 02:00,221,0
HZ_0159,RD_026,Road Segment 26,12.995701,80.184158,speed_breaker,high,,0.87,0.86,2024-05-12 12:00,210,0
HZ_0160,RD_018,LB Road Adyar,12.995484,80.257989,waterlogging,low,,3.83,0.97,2024-04-20 03:00,65,0
HZ_0161,RD_079,Road Segment 79,12.924603,80.178783,speed_breaker,medium,,2.65,0.63,2024-12-28 12:00,136,1
HZ_0162,RD_058,Road Segment 58,13.096014,80.122103,debris,high,,0.61,0.67,2024-07-05 02:00,156,0
HZ_0163,RD_076,Road Segment 76,13.083248,80.193694,waterlogging,low,,2.66,0.95,2024-05-22 14:00,118,0
HZ_0164,RD_020,Kamarajar Salai Marina,13.069027,80.285812,debris,medium,,3.61,0.89,2024-03-13 06:00,116,0
HZ_0165,RD_073,Road Segment 73,12.871352,80.15882,debris,medium,,1.49,0.77,2024-01-25 19:00,72,1
HZ_0166,RD_062,Road Segment 62,12.97565,80.236419,pothole,low,9.1,0.45,0.92,2024-11-18 11:00,113,0
HZ_0167,RD_002,GST Road,12.966476,80.191941,road_crack,medium,,0.72,0.96,2024-10-29 10:00,151,1
HZ_0168,RD_054,Road Segment 54,12.992806,80.160919,road_crack,low,,2.26,0.65,2024-12-02 23:00,41,0
HZ_0169,RD_077,Road Segment 77,13.089371,80.184177,road_collapse,low,,2.57,0.75,2024-08-17 22:00,204,1
HZ_0170,RD_060,Road Segment 60,12.900846,80.386166,waterlogging,medium,,0.8,0.61,2024-12-08 14:00,217,0
HZ_0171,RD_060,Road Segment 60,12.897767,80.379727,pothole,low,21.4,0.82,0.76,2024-08-02 05:00,145,0
HZ_0172,RD_062,Road Segment 62,12.970077,80.215947,pothole,medium,10.3,0.34,0.66,2024-07-13 20:00,238,0
HZ_0173,RD_068,Road Segment 68,13.003416,80.248409,road_crack,low,,1.64,0.93,2024-01-23 05:00,30,0
HZ_0174,RD_073,Road Segment 73,12.877064,80.153069,pothole,high,8.2,1.87,0.74,2024-11-08 01:00,415,0
HZ_0175,RD_017,Usman Road T Nagar,13.044506,80.23156,pothole,low,11.7,1.67,0.83,2024-12-31 02:00,129,1
HZ_0176,RD_007,Poonamallee High Road,13.062627,80.146943,waterlogging,medium,,3.83,0.68,2024-02-21 15:00,239,1
HZ_0177,RD_041,Road Segment 41,13.025543,80.125295,road_crack,high,,3.09,0.98,2024-05-18 01:00,296,0
HZ_0178,RD_080,Road Segment 80,12.973872,80.137943,pothole,low,20.6,3.89,0.95,2024-06-20 06:00,119,0
HZ_0179,RD_062,Road Segment 62,12.986048,80.228254,pothole,medium,24.9,2.89,0.78,2024-08-07 01:00,198,0
HZ_0180,RD_016,Patel Road T Nagar,13.029974,80.231054,oil_spill,medium,,3.74,0.65,2024-04-07 11:00,137,0
HZ_0181,RD_062,Road Segment 62,12.970699,80.227269,debris,medium,,1.95,0.66,2024-11-13 18:00,119,1
HZ_0182,RD_066,Road Segment 66,13.154391,80.12475,waterlogging,low,,2.27,0.63,2024-05-12 11:00,124,0
HZ_0183,RD_041,Road Segment 41,13.022985,80.128896,debris,medium,,2.23,0.91,2024-02-12 19:00,86,1
HZ_0184,RD_060,Road Segment 60,12.895915,80.381396,road_crack,low,,2.06,0.72,2024-09-11 01:00,53,1
HZ_0185,RD_031,Road Segment 31,13.148718,80.358737,pothole,medium,14.4,0.79,0.71,2024-10-11 13:00,220,0
HZ_0186,RD_068,Road Segment 68,12.989255,80.24383,pothole,high,4.5,3.48,0.6,2024-05-26 06:00,389,0
HZ_0187,RD_034,Road Segment 34,12.906935,80.317076,debris,high,,1.89,0.62,2024-09-19 20:00,170,0
HZ_0188,RD_003,OMR (Old Mahabalipuram Road),12.920852,80.227908,speed_breaker,low,,2.35,0.61,2024-09-10 05:00,68,0
HZ_0189,RD_066,Road Segment 66,13.15144,80.116933,debris,medium,,1.91,0.74,2024-10-11 04:00,105,1
HZ_0190,RD_024,Road Segment 24,12.860875,80.154262,pothole,medium,8.6,3.95,0.77,2024-05-20 19:00,211,1
HZ_0191,RD_029,Road Segment 29,13.044411,80.34837,pothole,medium,9.2,2.89,0.77,2024-11-22 07:00,236,0
HZ_0192,RD_005,NH-16 (Chennai-Kolkata Highway),13.147799,80.27523,pothole,high,22.6,3.77,0.75,2024-06-09 02:00,441,0
HZ_0193,RD_012,Sardar Patel Road,13.005686,80.22587,pothole,medium,5.6,0.53,0.83,2024-10-12 03:00,241,0
HZ_0194,RD_056,Road Segment 56,13.015585,80.17334,road_collapse,medium,,2.64,0.71,2024-07-18 06:00,498,0
HZ_0195,RD_052,Road Segment 52,13.026933,80.11742,waterlogging,low,,1.94,0.79,2024-01-08 05:00,80,0
HZ_0196,RD_078,Road Segment 78,13.013533,80.404997,road_crack,high,,1.3,0.62,2024-04-27 15:00,295,1
HZ_0197,RD_043,Road Segment 43,12.98291,80.280117,road_crack,low,,0.52,0.61,2024-12-19 15:00,41,0
HZ_0198,RD_031,Road Segment 31,13.143076,80.360832,pothole,medium,24.2,1.45,0.66,2024-06-17 04:00,191,0
HZ_0199,RD_035,Road Segment 35,12.9432,80.37475,debris,medium,,1.89,0.74,2024-06-17 22:00,115,0
HZ_0200,RD_039,Road Segment 39,12.896472,80.334303,road_collapse,low,,1.06,0.78,2024-04-05 22:00,238,0
HZ_0201,RD_080,Road Segment 80,12.986284,80.14996,road_collapse,medium,,3.67,0.66,2024-05-28 11:00,542,0
HZ_0202,RD_033,Road Segment 33,13.08535,80.307622,debris,low,,2.52,0.6,2024-04-06 19:00,33,1
HZ_0203,RD_045,Road Segment 45,12.89637,80.357452,road_crack,low,,0.97,0.73,2024-01-20 21:00,46,0
HZ_0204,RD_002,GST Road,12.970389,80.183614,pothole,medium,23.9,1.14,0.98,2024-07-22 03:00,231,0
HZ_0205,RD_023,Road Segment 23,12.862349,80.121897,pothole,medium,4.6,0.52,0.74,2024-01-11 01:00,243,0
HZ_0206,RD_076,Road Segment 76,13.077956,80.198591,pothole,high,22.2,0.47,0.85,2024-02-26 10:00,435,0
HZ_0207,RD_007,Poonamallee High Road,13.056583,80.151467,debris,low,,2.63,0.87,2024-04-12 22:00,24,1
HZ_0208,RD_019,100 Feet Road Vadapalani,13.0485,80.199116,road_crack,medium,,3.38,0.88,2024-05-29 23:00,193,0
HZ_0209,RD_053,Road Segment 53,13.01834,80.263743,road_crack,low,,3.85,0.78,2024-12-27 02:00,64,0
HZ_0210,RD_007,Poonamallee High Road,13.048531,80.15188,pothole,high,6.2,2.83,0.6,2024-10-29 14:00,406,1
HZ_0211,RD_078,Road Segment 78,13.01284,80.398412,pothole,low,9.8,1.68,0.91,2024-06-24 13:00,93,0
HZ_0212,RD_048,Road Segment 48,13.160786,80.184337,pothole,low,14.8,2.87,0.99,2024-10-18 14:00,144,0
HZ_0213,RD_054,Road Segment 54,13.00279,80.156916,debris,medium,,1.59,0.65,2024-01-16 20:00,119,0
HZ_0214,RD_015,Arcot Road,13.052878,80.208086,pothole,low,23.5,2.6,0.6,2024-05-19 05:00,137,1
HZ_0215,RD_076,Road Segment 76,13.082488,80.19863,waterlogging,medium,,1.89,0.75,2024-11-01 19:00,240,0
HZ_0216,RD_011,Velachery Main Road,12.981256,80.218466,pothole,medium,23.5,1.85,0.75,2024-04-13 05:00,222,0
HZ_0217,RD_002,GST Road,12.966658,80.193097,road_crack,low,,1.32,0.92,2024-02-14 11:00,42,1
HZ_0218,RD_042,Road Segment 42,13.069613,80.336329,debris,medium,,2.97,0.75,2024-07-17 14:00,68,1
HZ_0219,RD_064,Road Segment 64,13.133277,80.128385,road_crack,low,,0.83,0.8,2024-01-31 21:00,36,0
